#File	/home/ctmr/projects/043_iceman/samples_other/Tunapuco_Matses/SRR1761698_1.fastq.gz	/home/ctmr/projects/043_iceman/samples_other/Tunapuco_Matses/SRR1761698_2.fastq.gz
#Total	70798988
#Matched	41572	0.05872%
#Name	Reads	ReadsPct
PhiX_read2_adapter	5326	0.00752%
I5_Nextera_Transposase_1	5195	0.00734%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	4647	0.00656%
I7_Nextera_Transposase_2	3988	0.00563%
Reverse_adapter	4111	0.00581%
PhiX_read1_adapter	2945	0.00416%
I5_Adapter_Nextera	2271	0.00321%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	1456	0.00206%
TruSeq_Universal_Adapter	1484	0.00210%
I7_Adapter_Nextera_No_Barcode	1431	0.00202%
RNA_Adapter_(RA5)_part_#_15013205	1405	0.00198%
Nextera_LMP_Read2_External_Adapter	1348	0.00190%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	1255	0.00177%
I5_Nextera_Transposase_2	1171	0.00165%
TruSeq_Adapter_Index_1_6	918	0.00130%
I7_Nextera_Transposase_1	637	0.00090%
RNA_PCR_Primer_(RP1)_part_#_15013198	541	0.00076%
Bisulfite_R1	517	0.00073%
Nextera_LMP_Read1_External_Adapter	405	0.00057%
Bisulfite_R2	415	0.00059%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	28	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	14	0.00002%
PCR_Primers	13	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	11	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	7	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	5	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	5	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	4	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	3	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	3	0.00000%
TruSeq_Adapter_Index_2	4	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	2	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	1	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	1	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N702	1	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	1	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N726	1	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N709	1	0.00000%
TruSeq_Adapter_Index_6	1	0.00000%
